Year,Split,Kind,Team,ID,Name,Place,Games,Wins,Losses,Win Rate,Kills,Deaths,Assists,KDA,CS,CS per Minute,Gold,Gold per Minute,Kill Part.,Kill Share,Gold Share,Champs Played
2013,summer,playoffs,CLG,chauster,Steve Chau,5,4,2,2,50.0,0.75,2.75,8.5,3.36,25.75,0.65,,,,,,4
2013,summer,playoffs,CLG,doublelift,"Yiliang ""Peter"" Peng",5,4,2,2,50.0,4.5,1.75,4.75,5.29,368.0,9.26,,,,,,3
2013,summer,playoffs,CLG,link,Austin Shin,5,4,2,2,50.0,3.0,2.5,6.75,3.9,280.0,7.04,,,,,,2
2013,summer,playoffs,CLG,nien,Zachary Malhas,5,4,2,2,50.0,3.25,2.75,6.25,3.45,291.25,7.33,,,,,,4
2013,summer,playoffs,Team Curse,cop,David Roberson,5,5,1,4,20.0,1.0,2.6,5.6,2.54,275.8,7.33,,,,,,3
2013,summer,playoffs,Team Curse,edward,Edward Abgaryan (Եդւարդ Աբգարյան),5,5,1,4,20.0,1.4,2.4,5.0,2.67,30.2,0.8,,,,,,3
2013,summer,playoffs,Team Curse,nyjacky,"Chenglong ""Jacky"" Wang",5,5,1,4,20.0,3.2,4.6,4.2,1.61,286.2,7.6,,,,,,3
2013,summer,playoffs,Team Curse,saintvicious,Brandon DiMarco,5,5,1,4,20.0,0.8,3.0,6.0,2.27,144.6,3.84,,,,,,2
2013,summer,playoffs,Team Curse,voyboy,Joedat Esfahani,5,5,1,4,20.0,4.0,2.4,3.4,3.08,291.2,7.73,,,,,,4
2013,summer,playoffs,Team Dignitas,crumbz,Alberto Rengifo,4,7,2,5,28.6,3.0,3.57,4.86,2.2,128.0,3.74,9.0,261.0,,,,3
2013,summer,playoffs,Team Dignitas,imaqtpie,Michael Santana,4,7,2,5,28.6,2.43,2.86,4.43,2.4,263.71,7.7,11.6,338.0,,,,5
2013,summer,playoffs,Team Dignitas,kiwikid,Alan Nguyen,4,7,2,5,28.6,1.57,3.86,4.0,1.44,219.14,6.4,10.1,294.0,,,,4
2013,summer,playoffs,Team Dignitas,patoy,Jordan Blackburn,4,7,2,5,28.6,0.86,2.71,6.43,2.68,31.71,0.93,7.0,206.0,,,,3
2013,summer,playoffs,Team Dignitas,scarra,William Li,4,7,2,5,28.6,3.29,4.57,3.71,1.53,263.0,7.68,11.5,335.0,,,,5
2013,summer,playoffs,Team SoloMid,dyrus,Marcus Hill,2,7,4,3,57.1,4.71,3.29,7.43,3.7,237.0,6.86,12.3,355.0,,,,4
2013,summer,playoffs,Team SoloMid,reginaid,Andy Dinh,2,7,4,3,57.1,3.29,3.71,6.57,2.65,247.43,7.17,11.8,343.0,,,,4
2013,summer,playoffs,Team SoloMid,theoddone,Brian Wyllie,2,7,4,3,57.1,2.86,3.43,5.57,2.46,139.86,4.05,9.8,283.0,,,,4
2013,summer,playoffs,Team SoloMid,xpecial,Alex Chu (朱啓恩),2,7,4,3,57.1,0.71,3.86,11.43,3.15,25.0,0.72,7.8,225.0,,,,2
2013,summer,playoffs,Team Vulcun,benny,Benny Hung,3,4,2,2,50.0,4.5,2.5,6.25,4.3,190.75,5.63,11.8,348.0,,,,4
2013,summer,playoffs,Team Vulcun,bloodwater,Lyubomir Spasov (Любомир Спасов),3,4,2,2,50.0,1.5,4.0,8.25,2.44,32.75,0.97,8.4,249.0,,,,3
2013,summer,playoffs,Team Vulcun,mancloud,Zachary Allan Hoschar,3,4,2,2,50.0,4.25,4.25,7.0,2.65,288.75,8.52,13.9,411.0,,,,4
2013,summer,playoffs,Team Vulcun,xmithie,Jake Kevin Puchero,3,4,2,2,50.0,4.0,3.0,9.5,4.5,115.25,3.4,9.9,292.0,,,,3
2013,summer,playoffs,Team Vulcun,zuna,Christopher Buechter,3,4,2,2,50.0,4.5,3.75,7.75,3.27,230.25,6.8,12.4,367.0,,,,3
2014,spring,regular season,Cloud9,balis,An Van Le,1,28,24,4,85.7,3.0,1.64,7.5,6.39,274.46,7.7,13.5,378.0,59.4,17.0,21.2,7
2014,spring,regular season,Cloud9,hai,Hai Du Lam,1,28,24,4,85.7,4.71,3.0,7.14,3.95,251.79,7.06,13.7,384.0,67.1,26.7,21.5,11
2014,spring,regular season,Cloud9,lemonnation,Daerek Hart,1,28,24,4,85.7,1.04,2.75,11.18,4.44,20.21,0.57,9.7,273.0,69.1,5.9,15.3,6
2014,spring,regular season,Cloud9,meteos,William Hartman,1,28,24,4,85.7,3.82,1.68,8.79,7.51,144.86,4.06,12.2,344.0,71.3,21.6,19.2,8
2014,spring,regular season,Cloud9,sneaky,Zachary Scuderi,1,28,24,4,85.7,5.11,1.57,7.0,7.7,287.68,8.07,14.6,408.0,68.5,28.9,22.9,7
2014,spring,regular season,CLG,aphromoo,Zaqueri Black,3,28,18,10,64.3,1.14,2.5,9.61,4.3,18.57,0.55,8.9,262.0,74.9,8.0,15.5,6
2014,spring,regular season,CLG,doublelift,"Yiliang ""Peter"" Peng",3,28,18,10,64.3,4.32,2.21,6.04,4.68,288.0,8.48,13.8,406.0,72.1,30.1,24.0,6
2014,spring,regular season,CLG,link,Austin Shin,3,28,18,10,64.3,3.68,2.32,6.18,4.25,204.25,6.02,11.8,348.0,68.7,25.6,20.5,11
2014,spring,regular season,CLG,nien,Zachary Malhas,3,28,18,10,64.3,2.36,2.57,5.96,3.24,243.46,7.17,12.0,352.0,58.0,16.4,20.8,7
2014,spring,regular season,CLG,dexter,Marcel Feldkamp,3,19,14,5,73.7,3.74,2.58,6.95,4.14,119.63,3.58,10.9,325.0,65.3,22.8,18.5,7
2014,spring,regular season,CLG,hotshotgg,George Georgallidis,3,6,2,4,33.3,0.33,3.0,4.17,1.5,217.33,6.79,9.8,305.0,52.9,3.9,20.2,4
2014,spring,regular season,CLG,chauster,Steve Chau,3,3,2,1,66.7,2.33,2.0,6.0,4.17,319.0,7.72,14.7,355.0,62.5,17.5,21.9,2
2014,spring,regular season,Evil Geniuses,innox,Tyson Kapler,7,28,8,20,28.6,2.96,3.32,4.68,2.3,261.18,7.18,12.3,338.0,60.8,23.6,22.0,10
2014,spring,regular season,Evil Geniuses,snoopeh,Stephen Ellis,7,26,8,18,30.8,2.5,3.73,6.31,2.36,113.15,3.08,10.3,280.0,68.0,19.3,18.1,11
2014,spring,regular season,Evil Geniuses,yellowpete,Peter Wüppen,7,26,8,18,30.8,2.77,2.58,5.46,3.19,270.81,7.36,12.8,348.0,63.5,21.4,22.4,6
2014,spring,regular season,Evil Geniuses,boris,Mitch Voorspoels,7,25,8,17,32.0,1.0,3.8,7.32,2.19,26.08,0.72,8.5,234.0,64.0,7.7,15.0,7
2014,spring,regular season,Evil Geniuses,ken,Kenneth Tang,7,3,0,3,0.0,0.67,5.67,5.33,1.06,21.0,0.56,8.4,221.0,66.7,7.4,15.7,2
